INFO 2025-04-08 00:20:26,418 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:25:46,696 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:25:46,722 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:25:46,755 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:25:46,761 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:25:46,833 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:25:46,935 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
WARNING 2025-04-08 00:25:46,938 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:46,945 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:25:46,983 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:25:47,056 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
INFO 2025-04-08 00:25:47,082 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:25:47,095 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:25:47,133 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:47,135 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:25:47,158 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
WARNING 2025-04-08 00:25:47,239 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:47,248 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
WARNING 2025-04-08 00:25:47,321 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:47,322 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:25:47,388 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:25:47,393 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:25:48,470 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:25:49,813 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:25:49,977 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:25:53,133 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:28:56,390 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\flights\models.py changed, reloading.
INFO 2025-04-08 00:28:57,575 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:29:29,932 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\leads\signals.py changed, reloading.
INFO 2025-04-08 00:29:30,999 autoreload Watching for file changes with StatReloader
WARNING 2025-04-08 00:29:52,290 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:29:52,291 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:29:52,954 basehttp "GET /api/flights/ HTTP/1.1" 200 52
WARNING 2025-04-08 00:29:52,979 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:29:52,981 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:29:53,072 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
WARNING 2025-04-08 00:29:53,179 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:53,186 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:29:53,208 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:29:53,222 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:29:53,267 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:29:53,268 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
WARNING 2025-04-08 00:29:53,286 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:53,287 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:29:53,408 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:29:53,416 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:29:53,576 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:29:53,856 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
WARNING 2025-04-08 00:29:54,227 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:54,228 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
WARNING 2025-04-08 00:29:54,302 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:54,304 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:29:55,462 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:29:56,705 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:29:56,797 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:29:59,871 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:30:37,497 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\flights\models.py changed, reloading.
INFO 2025-04-08 00:30:38,754 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:30:47,346 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\leads\signals.py changed, reloading.
INFO 2025-04-08 00:30:48,444 autoreload Watching for file changes with StatReloader
WARNING 2025-04-08 00:30:51,592 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:30:51,593 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
WARNING 2025-04-08 00:30:52,391 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:30:52,394 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:30:52,560 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:30:52,704 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:30:52,827 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:30:52,837 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:30:52,891 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
WARNING 2025-04-08 00:30:53,256 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:30:53,257 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:30:54,588 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:30:55,775 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:32:30,782 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:32:39,430 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
WARNING 2025-04-08 00:32:40,093 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:32:40,094 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:32:40,370 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
INFO 2025-04-08 00:32:40,439 basehttp "GET /api/flights/ HTTP/1.1" 200 52
WARNING 2025-04-08 00:32:40,464 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:32:40,465 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
WARNING 2025-04-08 00:32:40,752 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:40,753 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:32:40,795 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:32:40,865 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:40,867 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:32:40,881 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:32:40,901 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:32:41,010 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:32:41,080 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:32:41,080 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:32:41,140 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:32:41,369 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:32:41,438 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
WARNING 2025-04-08 00:32:41,768 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:41,769 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
WARNING 2025-04-08 00:32:41,841 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:41,843 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:32:42,965 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:32:43,650 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:32:44,145 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:32:46,598 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
WARNING 2025-04-08 00:51:02,561 log Unauthorized: /api/flights/
WARNING 2025-04-08 00:51:02,563 log Unauthorized: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:51:02,565 log Unauthorized: /api/auth/branches/
WARNING 2025-04-08 00:51:02,576 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,577 basehttp "GET /api/flights/ HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,581 log Unauthorized: /api/lead-documents/
WARNING 2025-04-08 00:51:02,581 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,586 log Unauthorized: /api/leads/
WARNING 2025-04-08 00:51:02,591 log Unauthorized: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/
WARNING 2025-04-08 00:51:02,593 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,598 basehttp "GET /api/leads/ HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,599 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 401 183
WARNING 2025-04-08 00:51:02,662 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:51:02,664 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
WARNING 2025-04-08 00:51:02,804 log Unauthorized: /api/lead-notes/
WARNING 2025-04-08 00:51:02,809 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 401 183
INFO 2025-04-08 00:51:02,974 basehttp "OPTIONS /api/auth/branches/ HTTP/1.1" 200 0
INFO 2025-04-08 00:51:35,135 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\leads\signals.py changed, reloading.
INFO 2025-04-08 00:51:36,976 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:53:29,844 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:53:33,248 basehttp "POST /api/auth/token/ HTTP/1.1" 200 683
WARNING 2025-04-08 00:53:33,255 log Unauthorized: /api/auth/me/
WARNING 2025-04-08 00:53:33,256 basehttp "GET /api/auth/me/ HTTP/1.1" 401 183
INFO 2025-04-08 00:53:34,340 basehttp "GET /api/auth/me/ HTTP/1.1" 200 299
INFO 2025-04-08 00:53:37,952 basehttp "GET /api/analytics/dashboard-stats/?date_from=2025-03-31&date_to=2025-04-29&tenant_id=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 507
INFO 2025-04-08 00:53:38,504 basehttp "OPTIONS /api/leads/by-role/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 0
INFO 2025-04-08 00:53:48,686 basehttp "GET /api/leads/by-role/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 21013
INFO 2025-04-08 00:53:48,693 basehttp "OPTIONS /api/auth/users/23/ HTTP/1.1" 200 0
INFO 2025-04-08 00:53:48,989 basehttp "GET /api/auth/users/23/ HTTP/1.1" 200 442
INFO 2025-04-08 00:53:48,996 basehttp "OPTIONS /api/auth/users/24/ HTTP/1.1" 200 0
INFO 2025-04-08 00:53:49,575 basehttp "GET /api/auth/users/24/ HTTP/1.1" 200 442
INFO 2025-04-08 00:53:49,580 basehttp "OPTIONS /api/auth/users/25/ HTTP/1.1" 200 0
INFO 2025-04-08 00:53:50,182 basehttp "GET /api/auth/users/25/ HTTP/1.1" 200 447
INFO 2025-04-08 00:53:50,189 basehttp "OPTIONS /api/auth/users/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b&ids=23,24,25 HTTP/1.1" 200 0
INFO 2025-04-08 00:53:51,562 basehttp "GET /api/auth/users/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b&ids=23,24,25 HTTP/1.1" 200 3456
INFO 2025-04-08 00:53:55,235 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
INFO 2025-04-08 00:53:56,106 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
INFO 2025-04-08 00:53:56,262 basehttp "GET /api/flights/ HTTP/1.1" 200 52
WARNING 2025-04-08 00:53:56,297 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:53:56,298 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:53:56,718 basehttp "GET /api/flights/ HTTP/1.1" 200 52
WARNING 2025-04-08 00:53:56,757 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:53:56,758 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
WARNING 2025-04-08 00:53:56,799 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:53:56,800 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:53:56,860 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:53:56,877 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:53:56,881 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
WARNING 2025-04-08 00:53:56,952 log Not Found: /api/auth/users/active-by-tenant/
INFO 2025-04-08 00:53:56,952 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
WARNING 2025-04-08 00:53:56,953 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:53:56,999 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:53:57,037 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:53:57,043 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:53:57,077 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:53:57,180 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:53:57,183 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:53:57,382 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:53:57,548 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:53:58,448 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:53:59,622 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:53:59,831 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:54:02,962 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:56:06,894 signals Processing flight data for lead ecfeba5f-9bd1-4757-921a-226330aab3ac
